tip_toc,material_toc,latime_foaie_de_usa,latime_deschidere,inaltime_deschidere
THERMO HOT 88,ALUMINIU,80N,957 MM,2114 MM
THERMO HOT 88,ALUMINIU,80,1007 MM,2114 MM
THERMO HOT 88,ALUMINIU,90N,1057 MM,2114 MM
THERMO HOT 88,ALUMINIU,90,1107 MM,2114 MM
THERMO HOT 88,ALUMINIU,100,1207 MM,2114 MM
THERMO HOT 78,ALUMINIU,80N,947 MM,2114 MM
THERMO HOT 78,ALUMINIU,80,997 MM,2114 MM
THERMO HOT 78,ALUMINIU,90N,1047 MM,2114 MM
THERMO HOT 78,ALUMINIU,90,1097 MM,2114 MM
THERMO HOT 78,ALUMINIU,100,1197 MM,2099 MM
THERMO 78,ALUMINIU,80N,932 MM,2099 MM
THERMO 78,ALUMINIU,80,982 MM,2099 MM
THERMO 78,ALUMINIU,90N,1032 MM,2099 MM
THERMO 78,ALUMINIU,90,1082 MM,2099 MM
THERMO 78,ALUMINIU,100,1182 MM,2099 MM
THERMO 78,OTEL,80N,906 MM,2088 MM
THERMO 78,OTEL,80,956 MM,2088 MM
THERMO 78,OTEL,90N,1006 MM,2088 MM
THERMO 78,OTEL,90,1056 MM,2088 MM
THERMO 78,OTEL,100,1156 MM,2088 MM
THERMO 64,ALUMINIU,80N,918 MM,2099 MM
THERMO 64,ALUMINIU,80,968 MM,2099 MM
THERMO 64,ALUMINIU,90N,1018 MM,2099 MM
THERMO 64,ALUMINIU,90,1068 MM,2099 MM
THERMO 64,ALUMINIU,100,1168 MM,2099 MM
THERMO 64,OTEL,80N,891 MM,2088 MM
THERMO 64,OTEL,80,941 MM,2089 MM
THERMO 64,OTEL,90N,991 MM,2090 MM
THERMO 64,OTEL,90,1041 MM,2091 MM
THERMO 64,OTEL,100,1141 MM,2092 MM
