Model,Finisaj,Tip_Rozeta,Pret_Maner,Pret_Rozeta,Rozeta
YUKA,C1,OB,325.68,70.91,Q SLIM 7MM
YUKA,C1,PZ,325.68,70.91,Q SLIM 7MM
YUKA,C1,WC,325.68,116.51,Q SLIM 7MM
YUKA,C2,OB,271.4,85.1,Q SLIM 7MM
YUKA,C2,PZ,271.4,85.1,Q SLIM 7MM
YUKA,C2,WC,271.4,133.45,Q SLIM 7MM
ST ARTA,LC,PZ,122.64,70.03,Q SLIM 7MM
ST ARTA,LC,WC,122.64,149.53,Q SLIM 7MM
ST ARTA,KG,PZ,134.91,91.03,Q SLIM 7MM
ST ARTA,KG,WC,134.91,15.03,Q SLIM 7MM
ST ARTA,LG,PZ,159.45,91.03,Q SLIM 7MM
ST ARTA,LG,WC,159.45,126.51,Q SLIM 7MM
ST ADANA,UNIC,OB,122.64,70.03,Q SLIM 7MM
ST ADANA,UNIC,PZ,122.64,70.03,Q SLIM 7MM
ST ADANA,UNIC,WC,122.64,115.03,Q SLIM 7MM
ST LIMA,LC,PZ,122.64,70.03,Q SLIM 7MM
ST LIMA,LC,WC,122.64,115.03,Q SLIM 7MM
ST LIMA,KG,PZ,159.45,91.03,Q SLIM 7MM
ST LIMA,KG,WC,159.45,149.53,Q SLIM 7MM
ST LIMA,LG,PZ,134.91,77.01,Q SLIM 7MM
ST LIMA,LG,WC,134.91,126.51,Q SLIM 7MM
ST NAKA,C1,PZ,175.39,70.03,Q SLIM 7MM
ST NAKA,C1,WC,175.39,115.03,Q SLIM 7MM
ST NAKA,C2,PZ,148.4,91.03,Q SLIM 7MM
ST NAKA,C2,WC,148.4,149.53,Q SLIM 7MM
ST MIIA,LC,OB,134.91,70.03,Q SLIM 7MM
ST MIIA,LC,PZ,134.91,70.03,Q SLIM 7MM
ST MIIA,LC,WC,134.91,115.03,Q SLIM 7MM
ST MIIA,KG,OB,175.39,70.03,Q SLIM 7MM
ST MIIA,KG,PZ,175.39,91.03,Q SLIM 7MM
ST MIIA,KG,WC,175.39,149.53,Q SLIM 7MM
ST MIIA,LG,OB,148.4,70.03,Q SLIM 7MM
ST MIIA,LG,PZ,148.4,77.01,Q SLIM 7MM
ST MIIA,LG,WC,148.4,126.51,Q SLIM 7MM
ST SIRA,UNIC,OB,122.64,70.03,Q SLIM 7MM
ST SIRA,UNIC,PZ,122.64,70.03,Q SLIM 7MM
OLEA,C1,WC,430.03,136.89,R SLIM 7MM
OLEA,C2,WC,394.54,136.89,R SLIM 7MM
MARANTA,C1,OB,448.73,89.36,R SLIM 7MM
MARANTA,C1,PZ,448.73,89.36,R SLIM 7MM
MARANTA,C1,WC,448.73,146.81,R SLIM 7MM
MARANTA,C2,OB,411.68,88.24,R SLIM 7MM
MARANTA,C2,PZ,411.68,88.24,R SLIM 7MM
MARANTA,C2,WC,411.68,138.89,R SLIM 7MM
CARLINA,C1,OB,458.51,78.01,RTH SLIM
CARLINA,C1,PZ,458.51,78.01,RTH SLIM
CARLINA,C1,WC,458.51,128.18,RTH SLIM
CARLINA,C2,OB,458.51,78.01,RTH SLIM
CARLINA,C2,PZ,458.51,85.83,RTH SLIM
CARLINA,C2,WC,458.51,141.0,RTH SLIM
LUPINA,UNIC,OB,514.4,78.01,RTH SLIM
PLUMERIA,UNIC,OB,426.54,78.01,RTH SLIM
PLUMERIA,UNIC,PZ,426.54,78.01,RTH SLIM
PLUMERIA,UNIC,WC,426.54,128.18,RTH SLIM
ALORA,LC,OB,300.25,79.03,R SLIM 7MM
ALORA,LC,PZ,300.25,79.03,R SLIM 7MM
ALORA,LC,WC,300.25,124.46,R SLIM 7MM
ALORA,SC,OB,269.54,65.85,R SLIM 7MM
ALORA,SC,PZ,269.54,72.44,R SLIM 7MM
ALORA,SC,WC,269.54,129.59,R SLIM 7MM
ALORA,WH,OB,323.43,79.03,R SLIM 7MM
ALORA,WH,PZ,323.43,79.03,R SLIM 7MM
ALORA,WH,WC,323.43,129.59,R SLIM 7MM
ALORA,LG,OB,300.28,72.44,R SLIM 7MM
ALORA,LG,PZ,300.28,65.85,R SLIM 7MM
ALORA,LG,WC,300.28,129.59,R SLIM 7MM
AZALIA,LC,OB,260.9,65.85,R SLIM 7MM
AZALIA,LC,PZ,260.9,65.85,R SLIM 7MM
AZALIA,LC,WC,260.9,113.13,R SLIM 7MM
AZALIA,SC,OB,313.1,79.03,R SLIM 7MM
AZALIA,SC,PZ,313.1,79.03,R SLIM 7MM
AZALIA,SC,WC,313.1,129.59,R SLIM 7MM
AZALIA,WH,OB,290.65,72.44,R SLIM 7MM
AZALIA,WH,PZ,290.65,72.44,R SLIM 7MM
AZALIA,WH,WC,290.65,129.59,R SLIM 7MM
AZALIA,LG,OB,290.65,79.03,R SLIM 7MM
AZALIA,LG,PZ,290.65,79.03,R SLIM 7MM
AZALIA,LG,WC,290.65,124.46,R SLIM 7MM
BELLISA,C1,PZ,862.43,79.03,
BELLISA,C1,WC,862.43,129.59,
BELLISA,C2,PZ,821.35,86.93,
BELLISA,C2,WC,821.35,142.54,
CAMELIA,C1,PZ,275.39,55.85,R SLIM 7MM
CAMELIA,C2,PZ,330.46,79.03,R SLIM 7MM
CYNIA,C1,OB,254.26,65.01,R SLIM 7MM
