Nume_Model,Finisaj,Tip_Accesoriu,Pret_Baza_Maner,Pret_Accesoriu,Pret_Total_Calculat
7SWC,1 cod: |,OB,270.3,297.33,567.63
7SWC,1 cod: |,PZ,270.3,359.76,630.06
7SWC,1 cod: |,WC,270.3,179.54,449.84
7SWC,10,OB,67.23,73.95,141.18
7SWC,10,OB,67.23,73.95,141.18
7SWC,10,PZ,67.23,45.84,113.07
7SWC,10,PZ,67.23,51.55,118.78
7SWC,10,WC,67.23,64.91,132.14
7SWC,10,WC,67.23,64.91,132.14
7SWC,19,OB,122.85,111.7,234.55
7SWC,19,PZ,122.85,145.19,268.04
7SWC,19,WC,122.85,122.85,245.7
7SWC,70 145,OB,122.85,111.7,234.55
7SWC,70 145,PZ,122.85,145.19,268.04
7SWC,70 145,WC,122.85,122.85,245.7
7SWC,SHOVALPRO8MM | 61,OB,67.23,73.95,141.18
7SWC,SHOVALPRO8MM | 61,OB,67.23,73.95,141.18
7SWC,SHOVALPRO8MM | 61,PZ,67.23,45.84,113.07
7SWC,SHOVALPRO8MM | 61,PZ,67.23,51.55,118.78
7SWC,SHOVALPRO8MM | 61,WC,67.23,64.91,132.14
7SWC,SHOVALPRO8MM | 61,WC,67.23,64.91,132.14
7SWC,î 111,OB,122.85,111.7,234.55
7SWC,î 111,PZ,122.85,145.19,268.04
7SWC,î 111,WC,122.85,122.85,245.7
A5Q5SWC,129,OB,148.68,136.3,284.98
A5Q5SWC,129,PZ,148.68,142.78,291.46
A5Q5SWC,129,WC,148.68,148.68,297.36
A5Q5SWC,81 I,OB,148.68,136.3,284.98
A5Q5SWC,81 I,PZ,148.68,142.78,291.46
A5Q5SWC,81 I,WC,148.68,148.68,297.36
ASQ5S OB,84 ASQ7S 0B,OB,70.91,85.1,156.01
ASQ5S OB,84 ASQ7S 0B,PZ,70.91,77.01,147.92
ASQ5S OB,84 ASQ7S 0B,WC,70.91,84.03,154.94
ASQ5S OB,8819 105,OB,70.91,85.1,156.01
ASQ5S OB,8819 105,PZ,70.91,77.01,147.92
ASQ5S OB,8819 105,WC,70.91,84.03,154.94
ASQ5S PZ,,OB,92.6,97.01,189.61
ASQ5S PZ,,PZ,92.6,105.84,198.44
ASQ5S PZ,,WC,92.6,70.03,162.63
ASQ5S PZ,84 I ASQ7S PZ,OB,70.91,85.1,156.01
ASQ5S PZ,84 I ASQ7S PZ,PZ,70.91,71.01,141.92
ASQ5S PZ,84 I ASQ7S PZ,WC,70.91,84.03,154.94
ASQ5S PZ,8819 105,OB,70.91,85.1,156.01
ASQ5S PZ,8819 105,PZ,70.91,71.01,141.92
ASQ5S PZ,8819 105,WC,70.91,84.03,154.94
ASQ5S PZ,ll: - IR,OB,196.24,309.95,506.19
ASQ5S PZ,ll: - IR,PZ,196.24,371.96,568.2
ASQ5S PZ,ll: - IR,WC,196.24,345.29,541.53
ASQ5S WC,129,OB,148.68,116.51,265.19
ASQ5S WC,129,PZ,148.68,126.51,275.19
ASQ5S WC,129,WC,148.68,132.28,280.96
ASQ5S WC,29,OB,258.88,226.53,485.41
ASQ5S WC,29,PZ,258.88,312.08,570.96
ASQ5S WC,29,WC,258.88,374.5,633.38
ASQ5S WC,74 237,OB,258.88,226.53,485.41
ASQ5S WC,74 237,PZ,258.88,312.08,570.96
ASQ5S WC,74 237,WC,258.88,374.5,633.38
ASQ5S WC,81,OB,148.68,116.51,265.19
ASQ5S WC,81,PZ,148.68,126.51,275.19
ASQ5S WC,81,WC,148.68,132.28,280.96
ASQ5S WC,| 215,OB,258.88,226.53,485.41
ASQ5S WC,| 215,PZ,258.88,312.08,570.96
ASQ5S WC,| 215,WC,258.88,374.5,633.38
ASQ5S0B,19,OB,105.84,92.6,198.44
ASQ5S0B,19,PZ,105.84,97.01,202.85
ASQ5S0B,19,WC,105.84,105.84,211.68
ASQ5S0B,] 88,OB,105.84,92.6,198.44
ASQ5S0B,] 88,PZ,105.84,97.01,202.85
ASQ5S0B,] 88,WC,105.84,105.84,211.68
ASQR7S WC,1,OB,146.81,138.89,285.7
ASQR7S WC,1,PZ,146.81,146.81,293.62
ASQR7S WC,1,WC,146.81,138.89,285.7
ASQR7S WC,7 ASQRTSPZ |,OB,89.36,88.24,177.6
ASQR7S WC,7 ASQRTSPZ |,PZ,89.36,78.01,167.37
ASQR7S WC,7 ASQRTSPZ |,WC,89.36,93.61,182.97
ASQR7S WC,ASQRTSOB ţ,OB,89.36,88.24,177.6
ASQR7S WC,ASQRTSOB ţ,PZ,89.36,78.01,167.37
ASQR7S WC,ASQRTSOB ţ,WC,89.36,93.61,182.97
ASQRTS WC,,OB,146.81,138.89,285.7
ASQRTS WC,,PZ,146.81,128.18,274.99
ASQRTS WC,,WC,146.81,146.81,293.62
ASQRTS WC,E 678 | 50013 46430 |,OB,464.3,411.99,876.29
ASQRTS WC,E 678 | 50013 46430 |,PZ,464.3,458.51,922.81
ASQRTS WC,E 678 | 50013 46430 |,WC,464.3,458.51,922.81
ASQRTTSPZ,61 |,OB,85.83,93.6,179.43
