Model,Finisaj,Tip_Rozeta,Pret_Maner,Pret_Rozeta,Total
ALORA,BK,OB,269.54,65.85,335.39
ALORA,BK,PZ,269.54,65.85,335.39
ALORA,BK,WC,269.54,113.13,382.67
ALORA,GYM,OB,300.25,79.03,379.28
ALORA,GYM,PZ,300.25,79.03,379.28
ALORA,GYM,WC,300.25,129.59,429.84
ALORA,KG,OB,323.43,79.03,402.46
ALORA,KG,PZ,323.43,79.03,402.46
ALORA,KG,WC,323.43,129.59,453.02
ALORA,LC,OB,269.54,65.85,335.39
ALORA,LC,PZ,269.54,65.85,335.39
ALORA,LC,WC,269.54,113.13,382.67
ALORA,LG,OB,323.43,79.03,402.46
ALORA,LG,PZ,323.43,79.03,402.46
ALORA,LG,WC,323.43,129.59,453.02
ALORA,SC,OB,269.54,65.85,335.39
ALORA,SC,PZ,269.54,65.85,335.39
ALORA,SC,WC,269.54,113.13,382.67
ALORA,SNM,OB,300.25,72.44,372.69
ALORA,SNM,PZ,300.25,72.44,372.69
ALORA,SNM,WC,300.25,124.46,424.71
ALORA,WH,OB,323.43,79.03,402.46
ALORA,WH,PZ,323.43,79.03,402.46
ALORA,WH,WC,323.43,129.59,453.02
AMBROSIA,BK,OB,348.56,65.85,414.41
AMBROSIA,BK,PZ,348.56,65.85,414.41
AMBROSIA,BK,WC,348.56,113.13,461.69
AMBROSIA,KG,OB,418.28,79.03,497.31
AMBROSIA,KG,PZ,418.28,79.03,497.31
AMBROSIA,KG,WC,418.28,129.59,547.87
AMBROSIA,LG,OB,418.28,79.03,497.31
AMBROSIA,LG,PZ,418.28,79.03,497.31
AMBROSIA,LG,WC,418.28,129.59,547.87
ARABIS R,BLACK,OB,178.23,65.01,243.24
ARABIS R,BLACK,PZ,178.23,65.01,243.24
ARABIS R,BLACK,WC,178.23,111.7,289.93
ARABIS R,BR,OB,187.15,65.01,252.16
ARABIS R,BR,PZ,187.15,65.01,252.16
ARABIS R,BR,WC,187.15,111.7,298.85
ARABIS R,CP,OB,178.23,65.01,243.24
ARABIS R,CP,PZ,178.23,65.01,243.24
ARABIS R,CP,WC,178.23,111.7,289.93
ARABIS R,GOLD PVD,OB,196.05,71.51,267.56
ARABIS R,GOLD PVD,PZ,196.05,71.51,267.56
ARABIS R,GOLD PVD,WC,196.05,122.85,318.9
ARABIS R,GOLD SATIN,OB,213.88,78.01,291.89
ARABIS R,GOLD SATIN,PZ,213.88,78.01,291.89
ARABIS R,GOLD SATIN,WC,213.88,128.44,342.32
ARABIS R,MSB,OB,187.15,65.01,252.16
ARABIS R,MSB,PZ,187.15,65.01,252.16
ARABIS R,MSB,WC,187.15,111.7,298.85
ARABIS R,MSC,OB,178.23,65.01,243.24
ARABIS R,MSC,PZ,178.23,65.01,243.24
ARABIS R,MSC,WC,178.23,111.7,289.93
ARABIS R,MSN,OB,187.15,65.01,252.16
ARABIS R,MSN,PZ,187.15,65.01,252.16
ARABIS R,MSN,WC,187.15,111.7,298.85
ARABIS R,WHITE,OB,196.05,71.51,267.56
ARABIS R,WHITE,PZ,196.05,71.51,267.56
ARABIS R,WHITE,WC,196.05,122.85,318.9
ARIA,BK,OB,344.11,77.5,421.61
ARIA,BK,PZ,344.11,77.5,421.61
ARIA,BK,WC,344.11,118.84,462.95
ARIA,KG,OB,412.94,93.0,505.94
ARIA,KG,PZ,412.94,93.0,505.94
ARIA,KG,WC,412.94,136.11,549.05
ARIA,LC,OB,344.11,77.5,421.61
ARIA,LC,PZ,344.11,77.5,421.61
ARIA,LC,WC,344.11,118.84,462.95
ARIA,LG,OB,412.94,93.0,505.94
ARIA,LG,PZ,412.94,93.0,505.94
ARIA,LG,WC,412.94,136.11,549.05
ARIA,PN PVD,OB,412.94,93.0,505.94
ARIA,PN PVD,PZ,412.94,93.0,505.94
ARIA,PN PVD,WC,412.94,136.11,549.05
ARIA,SC,OB,344.11,77.5,421.61
ARIA,SC,PZ,344.11,77.5,421.61
ARIA,SC,WC,344.11,118.84,462.95
ARNICA R,BLACK,OB,178.23,65.01,243.24
ARNICA R,BLACK,PZ,178.23,65.01,243.24
ARNICA R,BLACK,WC,178.23,111.7,289.93
ARNICA R,CP,OB,178.23,65.01,243.24
ARNICA R,CP,PZ,178.23,65.01,243.24
ARNICA R,CP,WC,178.23,111.7,289.93
ARNICA R,GOLD PVD,OB,196.05,71.51,267.56
ARNICA R,GOLD PVD,PZ,196.05,71.51,267.56
ARNICA R,GOLD PVD,WC,196.05,122.85,318.9
ARNICA R,GOLD SATIN,OB,213.88,78.01,291.89
ARNICA R,GOLD SATIN,PZ,213.88,78.01,291.89
ARNICA R,GOLD SATIN,WC,213.88,128.44,342.32
ARNICA R,MSB,OB,187.15,65.01,252.16
ARNICA R,MSB,PZ,187.15,65.01,252.16
ARNICA R,MSB,WC,187.15,111.7,298.85
ARNICA R,MSC,OB,178.23,65.01,243.24
ARNICA R,MSC,PZ,178.23,65.01,243.24
ARNICA R,MSC,WC,178.23,111.7,289.93
ARNICA R,MSN,OB,187.15,65.01,252.16
ARNICA R,MSN,PZ,187.15,65.01,252.16
ARNICA R,MSN,WC,187.15,111.7,298.85
ASTERIA,BK,OB,356.39,77.5,433.89
ASTERIA,BK,PZ,356.39,77.5,433.89
ASTERIA,BK,WC,356.39,118.84,475.23
ASTERIA,LC,OB,356.39,77.5,433.89
ASTERIA,LC,PZ,356.39,77.5,433.89
ASTERIA,LC,WC,356.39,118.84,475.23
ASTERIA,LG,OB,427.66,93.0,520.66
ASTERIA,LG,PZ,427.66,93.0,520.66
ASTERIA,LG,WC,427.66,136.11,563.77
AZALIA,BK,OB,260.9,65.85,326.75
AZALIA,BK,PZ,260.9,65.85,326.75
AZALIA,BK,WC,260.9,113.13,374.03
AZALIA,GYM,OB,290.65,79.03,369.68
AZALIA,GYM,PZ,290.65,79.03,369.68
AZALIA,GYM,WC,290.65,129.59,420.24
AZALIA,KG,OB,313.1,79.03,392.13
AZALIA,KG,PZ,313.1,79.03,392.13
AZALIA,KG,WC,313.1,129.59,442.69
AZALIA,LC,OB,260.9,65.85,326.75
AZALIA,LC,PZ,260.9,65.85,326.75
AZALIA,LC,WC,260.9,113.13,374.03
AZALIA,LG,OB,313.1,79.03,392.13
AZALIA,LG,PZ,313.1,79.03,392.13
AZALIA,LG,WC,313.1,129.59,442.69
AZALIA,PN PVD,OB,313.1,79.03,392.13
AZALIA,PN PVD,PZ,313.1,79.03,392.13
AZALIA,PN PVD,WC,313.1,129.59,442.69
AZALIA,SC,OB,260.9,65.85,326.75
AZALIA,SC,PZ,260.9,65.85,326.75
AZALIA,SC,WC,260.9,113.13,374.03
AZALIA,SNM,OB,290.65,72.44,363.09
AZALIA,SNM,PZ,290.65,72.44,363.09
AZALIA,SNM,WC,290.65,124.46,415.11
AZALIA,WH,OB,313.1,79.03,392.13
AZALIA,WH,PZ,313.1,79.03,392.13
AZALIA,WH,WC,313.1,129.59,442.69
BELLISA,FB,OB,821.35,79.03,900.38
BELLISA,FB,PZ,821.35,79.03,900.38
BELLISA,FB,WC,821.35,129.59,950.94
BELLISA,GYM,OB,821.35,79.03,900.38
BELLISA,GYM,PZ,821.35,79.03,900.38
BELLISA,GYM,WC,821.35,129.59,950.94
BELLISA,SIL,OB,862.43,86.93,949.36
BELLISA,SIL,PZ,862.43,86.93,949.36
BELLISA,SIL,WC,862.43,142.54,1004.97
CAMELIA,GYM,OB,361.75,79.03,440.78
CAMELIA,GYM,PZ,361.75,79.03,440.78
CAMELIA,GYM,WC,361.75,129.59,491.34
CAMELIA,LG,OB,389.69,79.03,468.72
CAMELIA,LG,PZ,389.69,79.03,468.72
CAMELIA,LG,WC,389.69,129.59,519.28
CYNIA,BLACK,OB,231.15,65.01,296.16
CYNIA,BLACK,PZ,231.15,65.01,296.16
CYNIA,BLACK,WC,231.15,111.7,342.85
CYNIA,CP,OB,231.15,65.01,296.16
CYNIA,CP,PZ,231.15,65.01,296.16
CYNIA,CP,WC,231.15,111.7,342.85
