id,categorie,furnizor,colectie,model,decor,tip_toc,dimensiune,pret,finisaj,este_izolatie
2551,Tocuri,Erkado,,Toc,,Reglabil,100-120 MM,151,CPL 0.2,0
2550,Tocuri,Erkado,,Toc,,Reglabil,100-120 MM,137,CPL/ST PREMIUM,0
2549,Tocuri,Erkado,,Toc,,Reglabil,100-120 MM,125,GREKO,0
2552,Tocuri,Erkado,,Toc,,Reglabil,100-120 MM,238,LACUIT,0
2555,Tocuri,Erkado,,Toc,,Reglabil,120-140 MM,155,CPL 0.2,0
2554,Tocuri,Erkado,,Toc,,Reglabil,120-140 MM,142,CPL/ST PREMIUM,0
2553,Tocuri,Erkado,,Toc,,Reglabil,120-140 MM,129,GREKO,0
2556,Tocuri,Erkado,,Toc,,Reglabil,120-140 MM,246,LACUIT,0
2559,Tocuri,Erkado,,Toc,,Reglabil,140-160 MM,161,CPL 0.2,0
2558,Tocuri,Erkado,,Toc,,Reglabil,140-160 MM,147,CPL/ST PREMIUM,0
2557,Tocuri,Erkado,,Toc,,Reglabil,140-160 MM,135,GREKO,0
2560,Tocuri,Erkado,,Toc,,Reglabil,140-160 MM,255,LACUIT,0
2563,Tocuri,Erkado,,Toc,,Reglabil,160-180 MM,168,CPL 0.2,0
2562,Tocuri,Erkado,,Toc,,Reglabil,160-180 MM,154,CPL/ST PREMIUM,0
2561,Tocuri,Erkado,,Toc,,Reglabil,160-180 MM,141,GREKO,0
2564,Tocuri,Erkado,,Toc,,Reglabil,160-180 MM,265,LACUIT,0
2567,Tocuri,Erkado,,Toc,,Reglabil,180-200 MM,170,CPL 0.2,0
2566,Tocuri,Erkado,,Toc,,Reglabil,180-200 MM,156,CPL/ST PREMIUM,0
2565,Tocuri,Erkado,,Toc,,Reglabil,180-200 MM,144,GREKO,0
2568,Tocuri,Erkado,,Toc,,Reglabil,180-200 MM,274,LACUIT,0
2571,Tocuri,Erkado,,Toc,,Reglabil,200-220 MM,175,CPL 0.2,0
2570,Tocuri,Erkado,,Toc,,Reglabil,200-220 MM,162,CPL/ST PREMIUM,0
2569,Tocuri,Erkado,,Toc,,Reglabil,200-220 MM,149,GREKO,0
2572,Tocuri,Erkado,,Toc,,Reglabil,200-220 MM,282,LACUIT,0
2575,Tocuri,Erkado,,Toc,,Reglabil,220-240 MM,180,CPL 0.2,0
2574,Tocuri,Erkado,,Toc,,Reglabil,220-240 MM,167,CPL/ST PREMIUM,0
2573,Tocuri,Erkado,,Toc,,Reglabil,220-240 MM,154,GREKO,0
2576,Tocuri,Erkado,,Toc,,Reglabil,220-240 MM,292,LACUIT,0
2579,Tocuri,Erkado,,Toc,,Reglabil,240-260 MM,186,CPL 0.2,0
2578,Tocuri,Erkado,,Toc,,Reglabil,240-260 MM,171,CPL/ST PREMIUM,0
2577,Tocuri,Erkado,,Toc,,Reglabil,240-260 MM,159,GREKO,0
2580,Tocuri,Erkado,,Toc,,Reglabil,240-260 MM,301,LACUIT,0
2583,Tocuri,Erkado,,Toc,,Reglabil,260-280 MM,190,CPL 0.2,0
2582,Tocuri,Erkado,,Toc,,Reglabil,260-280 MM,176,CPL/ST PREMIUM,0
2581,Tocuri,Erkado,,Toc,,Reglabil,260-280 MM,164,GREKO,0
2584,Tocuri,Erkado,,Toc,,Reglabil,260-280 MM,310,LACUIT,0
2587,Tocuri,Erkado,,Toc,,Reglabil,280-300 MM,200,CPL 0.2,0
2586,Tocuri,Erkado,,Toc,,Reglabil,280-300 MM,187,CPL/ST PREMIUM,0
2585,Tocuri,Erkado,,Toc,,Reglabil,280-300 MM,173,GREKO,0
2588,Tocuri,Erkado,,Toc,,Reglabil,280-300 MM,331,LACUIT,0
2591,Tocuri,Erkado,,Toc,,Reglabil,300-340 MM,204,CPL 0.2,0
2590,Tocuri,Erkado,,Toc,,Reglabil,300-340 MM,191,CPL/ST PREMIUM,0
2589,Tocuri,Erkado,,Toc,,Reglabil,300-340 MM,178,GREKO,0
2592,Tocuri,Erkado,,Toc,,Reglabil,300-340 MM,342,LACUIT,0
2595,Tocuri,Erkado,,Toc,,Reglabil,340-360 MM,222,CPL 0.2,0
2594,Tocuri,Erkado,,Toc,,Reglabil,340-360 MM,208,CPL/ST PREMIUM,0
2593,Tocuri,Erkado,,Toc,,Reglabil,340-360 MM,196,GREKO,0
